2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:45		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:46		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:47		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:47		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:47		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:48		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
2020-12-21/12:02:49		 wafer_23012020_041211.csv: File loaded successfully!!
